Country_of_Origin,Region,Total_Cup_Points
Thailand,"doi chaang village, chiang rai, thialand",81.58
Thailand,,81.58
Costa Rica,tarrazu,81.58
Guatemala,santa rosa,81.5
Nicaragua,jalapa,81.5
Honduras,comayagua,81.5
Guatemala,santa rosa,81.5
Taiwan,No. 60 Jianshankeng Hebao Village Gukeng Township,81.5
Myanmar,ywar ngan township,81.5
Costa Rica,occidental,81.5
Malawi,mzuzu,81.5
Guatemala,oriente,81.5
Taiwan,natou county,81.5
Brazil,sul de minas,81.5
Haiti,"dondon, haiti",81.5
Taiwan,taichung xinshe New Community,81.5
Mexico,"la concordia, chiapas",81.5
Mexico,amatenango de la frontera,81.5
Mexico,temaxcalapa,81.5
Mexico,manzanillo,81.5
Mexico,tapachula,81.5
Mexico,atoyac de alvarez,81.5
Indonesia,ijen,81.5
Brazil,sul de minas,81.5
Guatemala,oriente,81.5
Colombia,cauca,81.5
United States (Hawaii),kona,81.5
Mexico,veracruz,81.42
Guatemala,san marcos,81.42
Brazil,cerrado,81.42
Honduras,marcala,81.42
Taiwan,Miaoli Sanwan,81.42
Malawi,mzuzu,81.42
Brazil,south of minas,81.42
Guatemala,"san lucas toliman, solola",81.42
Mexico,siltepec el triunfo,81.42
Peru,puno,81.42
Guatemala,oriente,81.42
Mexico,"huazalingo, hidalgo",81.42
Mexico,"coatepec, coatepec",81.42
Colombia,huila,81.42
Colombia,cauca,81.42
United States (Hawaii),kona,81.42
Colombia,huila,81.33
Honduras,comayagua,81.33
Mexico,veracruz,81.33
Brazil,cerrado,81.33
Honduras,marcala,81.33
Brazil,mantiqueira de minas,81.33
Philippines,"davao city, region 11",81.33
Malawi,mzuzu,81.33
Honduras,san marcos,81.33
Mexico,tapachula,81.33
Mexico,veracruz,81.33
Brazil,matas de minas        ,81.33
Taiwan,"dongshan dist., tainan city  ",81.25
Brazil,south of minas,81.25
Nicaragua,jinotega,81.25
Honduras,marcala,81.25
Guatemala,huehuetenango,81.25
"Tanzania, United Republic Of",karatu ngorogoro,81.25
Taiwan,nantou,81.25
Guatemala,"sacatepequez, guatemala",81.25
Mexico,motozintla,81.25
Nicaragua,"dipilto, nueva segovia",81.17
"Tanzania, United Republic Of","ruvuma, mbinga",81.17
Mexico,"chiapas, jaltenango",81.17
Costa Rica,tres rios,81.17
Honduras,central region,81.17
Thailand,chiangrai,81.17
Philippines,corillera administrative,81.17
"Tanzania, United Republic Of",mbinga,81.17
Malawi,southern- zomba,81.17
Costa Rica,central valley,81.17
Brazil,monte carmelo,81.17
Mexico,tapachula,81.17
Guatemala,oriente,81.17
Brazil,south of minas,81.17
United States (Hawaii),kona,81.17
Ethiopia,sidamo,81.08
Brazil,alta paulista (sao paulo),81.08
Nicaragua,jinotega,81.08
United States,central america,81.08
"Tanzania, United Republic Of","iwala village, mbeya rural",81.08
Costa Rica,naranjo,81.08
United States (Puerto Rico),yauco region,81.08
Mexico,san fernando,81.08
Mexico,santo reyes nopala,81.08
Mexico,santa maria sitepec,81.08
Mexico,talpa de allende,81.08
United States (Hawaii),,81.08
Brazil,grama valley,81.0
El Salvador,apaneca,81.0
Brazil,grama valley,81.0
Guatemala,norte,81.0
Colombia,guayata,81.0
Guatemala,oriente,81.0
Taiwan,"dongshan dist., tainan city  ",81.0
Honduras,san marcos,81.0
Brazil,cerrado,81.0
"Tanzania, United Republic Of",arusha,81.0
Uganda,eastern,81.0
Taiwan,nantou,81.0
Thailand,thailand,81.0
Mexico,"motozintla, chiapas",81.0
Mexico,adolfo lopez mateos,81.0
Taiwan,taiwan,80.92
Guatemala,oriente,80.92
Kenya,kiambu,80.92
Mexico,veracruz,80.92
Myanmar,pyinoolwin,80.92
United States (Hawaii),kona,80.92
"Tanzania, United Republic Of","manyara, karatu",80.92
Brazil,mantiqueira de minas,80.92
Taiwan,Taichung News Agency,80.92
Brazil,south of minas,80.92
Nicaragua,matagalpa,80.92
Guatemala,jalapa,80.92
Taiwan,taichung taiping  ,80.92
Taiwan,nantou,80.92
Taiwan,new taipei zhonghe  ,80.92
Mexico,ixhuatlan del cafe,80.92
Thailand,,80.92
Laos,"paksong,laos",80.83
Guatemala,orient,80.83
Mexico,motozintla,80.83
Mexico,oaxaca,80.83
Mexico,veracruz,80.83
United States (Hawaii),kona,80.83
Colombia,huila,80.83
Brazil,monte carmelo,80.75
Myanmar,ywar ngan,80.75
Guatemala,huehuetenango,80.75
Nicaragua,jinotega,80.75
Honduras,"siguatepeque, comayagua",80.75
Panama,boquete,80.75
Honduras,marcala,80.75
Honduras,central region,80.75
Costa Rica,san ramon,80.75
Mexico,oaxaca,80.75
Haiti,haiti,80.75
United States (Hawaii),kona,80.75
Taiwan,taiwan,80.67
Indonesia,sumatra brastagi,80.67
Guatemala,antigua,80.67
Costa Rica,tarrazu,80.67
Malawi,southern- zomba,80.67
Mexico,"el desmoronado, talpan de allende jalisco",80.67
Colombia,santander,80.67
Guatemala,"san lucas toliman, solola",80.67
Guatemala,oriente,80.67
Guatemala,oriente,80.67
Colombia,,80.67
Brazil,monte carmelo,80.58
Nicaragua,nueva segovia,80.58
"Tanzania, United Republic Of",arusha,80.58
Brazil,south of minas,80.58
Honduras,occidental,80.58
Guatemala,huehuetenango,80.58
United States (Hawaii),,80.58
Colombia,,80.58
Taiwan,taiwan,80.5
Guatemala,santa rosa,80.5
Honduras,ocotepeque,80.5
Mauritius,chamarel (south west),80.5
Brazil,vale da grama,80.5
Myanmar,pyin oo lwin,80.5
Guatemala,oriente,80.5
Brazil,mantiqueira de minas,80.5
United States (Hawaii),kona,80.5
Guatemala,huehuetenango,80.5
Mexico,zaragoza itundujia,80.5
Honduras,marcala,80.42
Taiwan,Nantou country,80.42
El Salvador,"department of ahuachapan, municipality of apanecallamatepec mountain",80.42
China,yunnan,80.42
Taiwan,nantou,80.42
Mexico,pochutla,80.42
Mexico,la concordia,80.42
Burundi,mumirwa,80.33
"Tanzania, United Republic Of",mkuu rombo,80.33
"Tanzania, United Republic Of",arusha,80.33
Taiwan,taichung xinshe New Community,80.33
Guatemala,oriente,80.33
Mexico,chilón,80.33
United States (Hawaii),kona,80.33
Ethiopia,kelem welega,80.33
Brazil,cerrado - monte carmelo - minas gerais,80.25
Honduras,comayagua,80.25
Mexico,sierra madre occidental,80.25
Myanmar,"yauk sauk, shan state",80.25
Myanmar,ywar ngan,80.25
Nicaragua,matagalpa,80.25
United States (Hawaii),kona,80.25
Colombia,,80.25
Taiwan,chiayi fanlu ,80.25
Guatemala,oriente,80.25
Mexico,"calnali, hidalgo",80.25
Vietnam,dala,80.17
Nicaragua,jinotega,80.17
Honduras,marcala,80.17
Guatemala,oriente,80.17
Mexico,coatepec,80.17
Mexico,zaragoza itundujia,80.17
Mexico,veracruz,80.17
Guatemala,oriente,80.17
United States (Hawaii),kona,80.17
Brazil,mantiqueira de minas,80.08
Taiwan,Miaoli Taian,80.08
Nicaragua,,80.08
Taiwan,yunlin gukeng he bao  ,80.08
Taiwan,changhua baguashan  ,80.08
Taiwan,changhua baguashan  ,80.08
Mexico,zaragoza itundujia,80.08
Mexico,escuitla,80.08
Nicaragua,jinotega,80.0
Myanmar,"doe kwin, pyin oo lwin",80.0
Mexico,"sierra fraylesca, chiapas",80.0
Taiwan,changhua baguashan  ,80.0
Thailand,thailand,80.0
Mexico,coatepec,80.0
Mexico,san miguel del puerto,80.0
Ethiopia,limu,80.0
Colombia,huila,79.92
United States (Hawaii),kona,79.92
Mexico,chiapas,79.92
Mexico,"motozintla, chiapas",79.92
Mexico,veracruz,79.92
Mexico,jaltenango,79.92
Mexico,coatepec,79.92
Mexico,veracruz,79.92
United States (Hawaii),kona,79.92
Kenya,kiambu,79.83
Guatemala,san marcos,79.83
Nicaragua,jinotega,79.83
Mexico,veracruz,79.83
United States (Hawaii),kona,79.83
Guatemala,oriente,79.75
Taiwan,"taiwu township , pingtung county  ",79.75
Taiwan,"baihe dist., tainan city  ",79.75
Thailand,thailand,79.75
Peru,huanuco,79.75
Costa Rica,brunca,79.75
Mexico,"la concordia, chiapas",79.75
Mexico,chiapas,79.75
Mexico,chiapas,79.75
Mexico,zaragoza itundujia,79.75
Mexico,pochutla,79.75
Guatemala,antigua,79.75
Mexico,tuxtla gutierrez,79.75
Guatemala,oriente,79.67
El Salvador,cacahuatique,79.67
Thailand,thailand,79.67
Guatemala,oriente,79.67
Mexico,"la concordia, chiapas",79.67
Mexico,"tenango de doria, hidalgo",79.67
Mexico,"coatepec, coatepec",79.67
Thailand,,79.67
Mexico,tepetzingo,79.58
Mexico,la concordia,79.58
Colombia,huila,79.58
Guatemala,"chuva, san marcos",79.58
Nicaragua,jinotega,79.5
Taiwan,nantou,79.5
Colombia,cundinamarca,79.5
Mexico,la concordia,79.5
Mexico,"coatepec, coatepec",79.5
Guatemala,oriente,79.42
Guatemala,oriente,79.42
Mexico,xicotepec de juarez,79.42
Cote d?Ivoire,cnra station of divo,79.33
Colombia,pereira,79.33
Mexico,zentla,79.33
Mexico,zentla,79.33
Guatemala,oriente,79.33
Taiwan,natou county,79.25
Mexico,veracruz,79.25
Guatemala,santa rosa,79.17
Honduras,ocotepeque,79.17
Guatemala,occidente,79.17
Guatemala,nuevo oriente,79.17
Costa Rica,san rafael,79.17
Mexico,zaragoza itundujia,79.17
Mexico,yajalon,79.17
Mexico,"pluma hidalogo, oaxaca",79.17
Guatemala,san marcos,79.08
United States (Puerto Rico),yauco region,79.08
Mexico,zaragoza itundujia,79.08
Mexico,tlacuilotepec,79.08
Mexico,talpa de allende,79.08
,,79.08
Guatemala,oriente,79.0
Honduras,intibuca,79.0
Peru,san ignacio,79.0
Mexico,"iliatenco, guerrero",79.0
Mexico,zaragoza itundujia,79.0
Mexico,amatenango de la frontera,79.0
Mexico,"la concordia, chiapas",78.92
Mexico,zaragoza itundujia,78.92
Nicaragua,jalapa,78.83
United States (Hawaii),kona,78.75
Guatemala,oriente,78.75
Mexico,veracruz,78.75
Mexico,veracruz,78.75
Mexico,"ohuapan, tlaltetela",78.75
China,yunnan,78.67
Mexico,yecuatla,78.67
Nicaragua,nueva segovia,78.58
Nicaragua,,78.58
Guatemala,oriente,78.58
Taiwan,"dongshan dist., tainan city  ",78.58
Mexico,tapachula,78.58
Mexico,cofradia de suchitlan,78.58
United States (Hawaii),kona,78.58
Mexico,"sierra, chiapas",78.5
Mexico,villa talea de castro,78.5
Mexico,los angeles,78.5
Brazil,monte carmelo,78.42
Mexico,zaragoza itundujia,78.42
United States (Hawaii),kona,78.33
Guatemala,oriente,78.33
Guatemala,oriente,78.33
Mexico,"xochitonalco, huautla        ",78.33
Guatemala,oriente,78.33
United States (Hawaii),kona,78.25
United States (Hawaii),kona,78.25
Indonesia,ijen,78.17
Mexico,cordoba,78.08
Taiwan," ( dongshan dist., tainan city)",78.0
Honduras,intibuca,78.0
United States (Hawaii),kona,78.0
Guatemala,oriente,78.0
China,yunnan,78.0
Guatemala,oriente,78.0
Mexico,"motozintla, chiapas",78.0
Colombia,,78.0
Costa Rica,occidental,77.92
Mexico,petatlan,77.92
Guatemala,oriente,77.92
Nicaragua,jinotega,77.83
Brazil,,77.83
Guatemala,oriente,77.83
Taiwan,"dongshan dist., tainan city  ",77.67
United States (Hawaii),kona,77.58
Mexico,coatepec,77.5
Guatemala,oriente,77.42
Brazil,south of minas,77.33
Guatemala,oriente,77.33
Mexico,zaragoza itundujia,77.33
Haiti,"dondon, haiti",77.25
United States (Hawaii),kona,77.25
Mexico,"motozintla, chiapas",77.17
Peru,san ignacio,77.0
India,chickmangalore,76.83
Mexico,"pluma hidalogo, oaxaca",76.75
Guatemala,oriente,76.5
Mexico,coatepec,76.42
Guatemala,oriente,76.33
Guatemala,oriente,76.33
United States (Hawaii),kona,76.25
United States (Hawaii),kona,76.17
Mexico,zaragoza itundujia,76.17
Indonesia,indonesia,76.17
Mexico,tepictla,76.08
Honduras,intibuca,76.0
Philippines,"benguet, mountain province",75.83
Brazil,monte carmelo,75.67
Guatemala,oriente,75.58
Guatemala,oriente,75.58
Mexico,tlacuilotepec,75.5
Mexico,ocosingo,75.17
Mexico,,75.17
Mexico,huautla de jimenez,75.17
Mexico,menglian,75.0
Mexico,zaragoza itundujia,74.92
Mexico,coatepec,74.83
Guatemala,oriente,74.75
Guatemala,oriente,74.75
Mexico,chiapas,74.67
United States (Hawaii),kona,74.42
Guatemala,oriente,74.33
Mexico,"chocaman, veracruz",74.33
Mexico,xalapa,74.0
Mexico,coatepec,73.83
United States (Hawaii),kona,73.67
Brazil,campos altos - cerrado,73.5
Honduras,intibuca,73.42
Mexico,sierra alta mixe y zapoteca,72.92
Colombia,,72.83
United States (Hawaii),kona,72.58
Haiti,marmelade,72.33
Costa Rica,occidental,71.75
Mexico,tlatlauquitepec,71.08
Mexico,veracruz,71.0
Mexico,"sierra norte yajalon, chiapas",70.75
Brazil,cerrado,70.67
Honduras,marcala,69.33
Honduras,marcala,69.17
Honduras,marcala,69.17
Mexico,juchique de ferrer,68.33
Haiti,"department d'artibonite , haiti",67.92
Nicaragua,jalapa,63.08
Guatemala,nuevo oriente,59.83
Honduras,comayagua,0.0
