,Country.of.Origin,Region,Owner.1,Variety,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Total.Cup.Points
218,Nicaragua,jinotega,COOPERATIVA EL GORRION R.L,Caturra,7.67,7.83,7.83,7.5,7.67,7.83,10,10,10,84.17
219,Brazil,cerrado,Cafebras,Catuai,7.67,7.75,7.75,7.67,7.83,7.75,10,10,10,84.17
220,Costa Rica,tarrazu,"CECA,S.A.",Caturra,7.67,7.75,7.67,7.75,7.5,8,10,10,10,84.17
221,Ethiopia,snnprg; kafa; telo woreda; shada kebele,Asefa Dukamo Keroma,Gesha,7.5,7.92,7.58,7.83,7.75,7.83,10,10,10,84.17
222,"Tanzania, United Republic Of",arusha,Selian Coffee Estate,Other,7.92,7.75,7.75,7.75,7.75,7.58,10,10,10,84.17
223,Colombia,huila,Olam Agro Colombia,Other,7.67,7.5,7.67,7.42,7.83,8.58,10,10,10,84.17
224,Guatemala,,Chris Finch,,7.67,7.75,7.67,7.75,7.75,7.75,10,10,10,84.17
225,Kenya,kenya,ITOCHU Corporation,SL28,7.58,7.75,7.75,7.75,7.75,7.83,10,10,10,84.17
226,Brazil,"minas gerais, br",Owen Carver,Mundo Novo,7.58,7.83,7.75,7.67,7.67,8,10,10,10,84.17
227,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.92,7.75,7.67,7.67,7.83,7.92,10,10,10,84.17
228,El Salvador,apaneca,Atlantic Specialty Coffee,Bourbon,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,84.17
229,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,84.17
230,Guatemala,guatemala,Juan Luis Alvarado Romero,Catuai,7.83,7.5,7.5,8,7.83,7.83,10,10,10,84.17
231,Uganda,mt. rwenzori,AFCA,Other,7.83,7.75,7.5,7.83,7.83,7.75,10,10,10,84.17
232,Indonesia,aceh tengah,PT.ROYAL PACIFIC INDAH INTERNATIONAL,Mandheling,7.81,7.88,7.56,7.75,7.63,7.75,10,10,10,84.13
233,Colombia,huila,CARCAFE LTDA CI,Caturra,7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,84.08
234,Taiwan,"nanxi dist., tainan city 臺南市楠西區","Lin, Che-Hao Krude 林哲豪",Typica,7.58,7.67,7.67,7.67,7.75,7.83,10,10,10,84.08
235,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,8,7.75,7.5,7.58,7.92,7.67,10,10,10,84.08
236,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.92,7.75,7.67,7.75,7.67,7.67,10,10,10,84.08
237,Guatemala,"aldea xeucalvitz, ixil region, quiche department",LUSSO LAB,Bourbon,7.58,7.75,7.67,8,7.75,7.67,10,10,10,84.08
238,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10,10,84.08
239,Mexico,santo domingo cacalotepec,ANDRES MARTINEZ LEON,Typica,7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,84.08
240,Ethiopia,"ethiopia, sidamo",Steven Kil,Other,7.92,7.92,7.83,8,7.92,7.92,10,10,8.67,84.08
241,Costa Rica,,Amanda Powers,,7.58,7.75,7.67,7.75,7.83,7.75,10,10,10,84
242,Ethiopia,sidamo,Kyagalanyi Coffee Ltd,Gesha,7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,84
243,Honduras,comayagua,Bismarck Castro,Caturra,7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,84
244,Guatemala,huehuetenango,Juan Luis Alvarado Romero,Caturra,7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,84
245,Colombia,huila,Olam Agro Colombia,Other,7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,84
246,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,84
247,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,84
248,Colombia,huila,Olam Agro Colombia,,7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,84
249,Colombia,santander,Compañia Colombiana Agroindustrial S.A,Caturra,7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,84
250,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,84
251,Ethiopia,sidamo,LUSSO LAB,Other,7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,84
252,Brazil,south of minas,Ipanema Coffees,Yellow Bourbon,7.58,7.83,7.67,7.25,8,7.75,10,10,10,84
253,Colombia,cauca,Exportadora de Cafe Condor S.A,Caturra,7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,84
254,Kenya,blend,Ibero Kenya Limited,SL34,7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,84
255,Thailand,thailand,Doi Tung Development Project,Other,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,84
256,Kenya,central kenya,Taylor Winch (Coffee) Ltd.,SL28,7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,84
257,Uganda,kasese,AFCA,Other,7.92,7.75,7.58,7.67,7.67,7.83,10,10,10,84
258,Thailand,,Doi Tung Development Project,,7.58,7.75,7.58,7.75,7.58,7.75,10,10,10,84
259,Brazil,south of minas,Ipanema Coffees,Bourbon,7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,83.92
260,Mexico,veracruz,CAFES TOMARI SA DE CV,Mundo Novo,7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,83.92
261,Thailand,chiangrai,Sarawut Premjit,Catimor,7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,83.92
262,Brazil,south of minas,Ipanema Coffees,Bourbon,7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,83.92
263,Taiwan,"leye, alishan township, chiayi county 嘉義阿里山樂野村","Lin, Che-Hao Krude 林哲豪",Typica,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10,10,83.92
264,Colombia,huila,CARCAFE LTDA CI,,7.75,7.67,7.5,7.75,7.83,7.75,10,10,10,83.92
265,Colombia,la plata,ALMACAFE,,7.75,7.58,7.5,7.83,7.75,7.92,10,10,10,83.92
266,Taiwan,台灣,CQI Taiwan ICP CQI台灣合作夥伴,,7.75,7.75,7.58,7.75,7.75,7.67,10,10,10,83.92
267,Colombia,huila,Federacion Nacional de Cafeteros,,7.92,7.67,7.5,7.83,7.58,7.67,10,10,10,83.92
268,Colombia,huila,Federacion Nacional de Cafeteros,,7.83,7.75,7.58,7.58,7.75,7.75,10,10,10,83.92
269,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,83.92
270,Taiwan,台中和平區,CQI Taiwan ICP CQI台灣合作夥伴,Typica,8,7.92,7.92,7.92,7.67,7.33,10,10,10,83.92
271,Colombia,santander,Compañia Colombiana Agroindustrial S.A,Caturra,7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,83.92
272,Mexico,xicotepec de juarez,OSCAR ORTEGA CARBALLO,Typica,7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,83.92
273,Mexico,la concordia,ALFREDO BOJALIL,Typica,7.5,7.67,7.58,7.83,7.75,7.75,10,10,10,83.92
274,Mexico,la yerbabuena,ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Typica,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,83.92
275,Colombia,nariño,CARCAFE LTDA CI,Caturra,7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,83.83
276,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.83,7.67,7.5,7.75,7.75,7.75,10,10,10,83.83
277,Costa Rica,tarrazu,"CECA, S.A.",Caturra,7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,83.83
278,Guatemala,antigua,Juan Luis Alvarado Romero,Bourbon,7.75,7.75,7.5,7.75,7.83,7.58,10,10,10,83.83
279,Taiwan,台灣,CQI Taiwan ICP CQI台灣合作夥伴,,7.75,7.67,7.5,7.75,7.75,7.67,10,10,10,83.83
280,Brazil,south of minas,Ipanema Coffees,Yellow Bourbon,7.25,7.58,7.42,8,7.75,7.83,10,10,10,83.83
281,Taiwan,"dongshan dist., tainan city 臺南市東山區","Lin, Che-Hao Krude 林哲豪",Typica,7.67,7.75,7.67,7.75,7.42,7.75,10,10,10,83.83
282,Ethiopia,oromia,yasmin Cofffee Plantation Plc,,7.75,7.75,7.67,7.67,7.58,7.67,10,10,10,83.83
283,Brazil,south of minas,Ipanema Coffees,Bourbon,7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,83.83
284,Costa Rica,central valley,Eric Thormaehlen,Catuai,7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,83.83
285,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.58,7.83,7.33,8,7.58,7.75,10,10,10,83.83
286,Brazil,south of minas,Ipanema Coffees,Yellow Bourbon,7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,83.83
287,Ecuador,"province of manabi, ecuador",Garet Alban,,7.5,7.67,7.58,7.75,7.83,7.83,10,10,10,83.83
288,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,83.83
289,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.5,7.83,7.5,7.83,7.83,7.67,10,10,10,83.83
290,Mexico,petatlan,FILEMON MENDOZA CAMPOS,Bourbon,7.67,8,7.67,7.42,7.67,7.5,10,10,10,83.83
291,Mexico,"la concordia, chiapas",ALFREDO BOJALIL,Pacas,7.67,7.58,7.5,7.75,7.75,7.75,10,10,10,83.83
292,Brazil,carmo de minas,Jacques Pereira Carneiro,Yellow Bourbon,7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,83.83
293,Thailand,"doi chaang village, chiang rai, thialand",Doi Chaang Coffee Company,,7.75,7.75,7.58,8,7.67,7.58,10,10,10,83.83
294,Thailand,,Doi Tung Development Project,,7.5,7.83,7.58,7.58,7.75,7.83,10,10,10,83.83
295,Ethiopia,sidamo,Ethiopia Commodity Exchange,,7.58,7.83,7.58,8,7.83,7.5,10,10,10,83.83
296,Kenya,nyeri,Kennedy Macharia,SL28,7.75,7.58,7.5,7.58,7.75,7.75,10,10,10,83.75
297,Brazil,south of minas,Ipanema Coffees,Bourbon,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,83.75
298,Colombia,huila,CARCAFE LTDA CI,Caturra,7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,83.75
299,Taiwan,"台南市東山區 (dongshan dist., tainan city)","Lin, Che-Hao Krude 林哲豪",Typica,7.67,7.67,7.58,7.58,7.67,7.83,10,10,10,83.75
300,Colombia,huila,Racafe & Cia S.C.A,,7.92,7.75,7.5,7.67,7.75,7.5,10,10,10,83.75
301,China,yunnan,Yunnan Coffee Exchange,Catimor,7.83,7.75,7.67,7.5,7.58,7.67,10,10,10,83.75
302,Colombia,huila,CARCAFE LTDA CI,Caturra,7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,83.75
303,Uganda,west nile,Nile Highland Arabica Coffee Farmers,Bourbon,8,7.92,7.58,7.75,7.33,7.5,10,10,10,83.75
304,United States (Puerto Rico),yauco region,German Negron,Other,7.83,7.83,7.83,7.67,8,8.17,9.33,9.33,10,83.75
305,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.67,7.67,7.67,7.92,7.5,7.67,10,10,10,83.75
306,Colombia,huila,Olam Agro Colombia,Other,7.67,7.42,7.42,7.42,8,8.33,10,10,10,83.75
307,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,83.75
308,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.75,7.67,7.75,7.58,7.42,8,10,10,10,83.75
309,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.25,7.42,7.67,7.58,7.83,8.25,10,10,10,83.75
310,Mexico,"huazalingo, hidalgo",SAUL M. HERNANDEZ RAMIREZ,Caturra,7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,83.75
311,Guatemala,quetzaltenango,The Coffee Source Inc.,Caturra,7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,83.75
312,Colombia,cauca,CARCAFE LTDA CI,,7.83,7.83,7.58,7.33,7.42,7.67,10,10,10,83.75
313,Colombia,cundinamarca,Exportadora de Cafe Condor S.A,,7.75,7.67,7.25,7.25,7.58,8.5,10,10,10,83.75
314,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,,7.83,7.67,7.75,7.67,7.58,7.5,10,10,10,83.75
315,Brazil,south of minas,Ipanema Coffees,Bourbon,7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,83.67
316,Kenya,meru county,Kennedy Macharia,SL28,8.08,7.67,7.67,7.58,7.25,7.67,10,10,10,83.67
317,Honduras,comayagua,Bismarck Castro,Caturra,7.5,7.5,7.67,7.67,8,8,10,10,10,83.67
318,Nicaragua,jinotega,"COMERCIAL INTERNACIONAL EXPORTADORA, S.A.",Caturra,7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,83.67
319,Brazil,south of minas,Ipanema Coffees,Bourbon,7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,83.67
320,Taiwan,"leye, alishan township, chiayi county","Lin, Che-Hao Krude 林哲豪",Caturra,7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,83.67
321,Costa Rica,west valley,"CECA, S.A.",,7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,83.67
322,Thailand,thailand,Doi Tung Development Project,,7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,83.67
323,Colombia,huila,Rob Stephen,Caturra,7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,83.67
324,Guatemala,huehuetenango,Juan Luis Alvarado Romero,Bourbon,8,7.5,7.33,8,8,8,9.33,10,10,83.67
325,Colombia,huila supremo,Exportadora de Cafe Condor S.A,Caturra,7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,83.67
326,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,83.67
327,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.67,7.67,7.42,7.67,8,7.75,10,10,10,83.67
328,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,83.67
329,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,83.67
330,Guatemala,oriente,The Coffee Source Inc.,Caturra,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,83.67
331,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,83.67
332,Mexico,xicotepec de juarez,JUAN LUIS ORTEGA CARBALLO,Typica,7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,83.67
333,Indonesia,east java,EKAI International Company Ltd.,Typica,8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,83.67
334,Guatemala,"sacatepequez, guatemala",Juan Luis Alvarado Romero,Caturra,7.67,7.5,7.33,8,7.67,7.67,10,10,10,83.67
335,United States (Hawaii),,Kona Pacific Farmers Cooperative,,7.75,8,7.92,8.08,7.75,8,9.33,9.33,9.33,83.67
336,Brazil,south of minas,Ipanema Coffees,Bourbon,7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,83.58
337,Guatemala,huehuetenango,Juan Luis Alvarado Romero,Caturra,7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,83.58
338,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,83.58
339,China,yunnan,Yunnan Coffee Exchange,Catimor,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,83.58
340,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,83.58
341,Mexico,"chiapas, jaltenango",ANDREAS KUSSMAUL,Caturra,7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,83.58
342,Ethiopia,yirgacheffe,EssenceCoffee,Other,7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,83.58
343,Uganda,eastern,Bulamburi coffee farmers association,SL14,7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,83.58
344,Colombia,cundinamarca,Compañia Colombiana Agroindustrial S.A,Caturra,7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,83.58
345,Colombia,santander,Compañia Colombiana Agroindustrial S.A,Caturra,7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,83.58
346,Colombia,santander,Compañia Colombiana Agroindustrial S.A,Caturra,7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,83.58
347,Taiwan,taichung xinshe 台中市新社區,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,83.58
348,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,83.58
349,Mexico,xalapa,ALFREDO BOJALIL,Typica,7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,83.58
350,Colombia,cundinamarca,CARCAFE LTDA CI,Caturra,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,83.58
351,Brazil,south of minas,NUCOFFEE,Catuai,7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,83.58
352,Colombia,cundinamarca,CARCAFE LTDA CI,Caturra,7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,83.5
353,Taiwan,,CQI Taiwan ICP CQI台灣合作夥伴,,7.58,7.58,7.17,7.17,7,7,10,10,10,83.5
354,Costa Rica,tarrazu,"CECA, S.A.",Caturra,7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,83.5
355,Colombia,pitalito,CARCAFE LTDA CI,Caturra,7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,83.5
356,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,83.5
357,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,83.5
358,"Tanzania, United Republic Of",nkure- meru,Damari Absalome,Ruiru 11,7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,83.5
359,Indonesia,bener meriah,Aulia Arif Syahri,Sumatra,7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,83.5
360,Ethiopia,oromia,Debesa Agro Industry Plc,,7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,83.5
361,Colombia,huila,Federacion Nacional de Cafeteros,,7.67,7.42,7.67,7.83,7.58,7.67,10,10,10,83.5
362,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,8,7.58,7.25,7.58,7.92,7.58,10,10,10,83.5
363,Guatemala,atitlan,The Coffee Source Inc.,Caturra,7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,83.5
364,Colombia,cundinamarca,Compañia Colombiana Agroindustrial S.A,Caturra,7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,83.5
365,Honduras,comayagua,,Caturra,7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,83.5
366,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,83.5
367,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.58,7.67,7.58,7.75,7.58,7.75,10,10,10,83.5
368,Mexico,xalapa,MANUEL HERRERA JUAREZ,Bourbon,7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,83.5
369,Mexico,chilón,MIGUEL CORTES MORENO,Typica,7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,83.5
370,Mexico,totutla,GABRIEL BERNARDO RIVAS ROSS,Pacamara,7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,83.5
371,Guatemala,atitlan,Juan Luis Alvarado Romero,Caturra,7.83,7.5,7.5,8,7.67,7.5,10,10,10,83.5
372,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.67,7.58,7.58,7.67,7.67,7.67,10,10,10,83.5
373,Guatemala,oriente,Felipe Isaza,Bourbon,7.5,7.5,7.75,7.5,8,7.67,10,10,10,83.5
374,United States (Hawaii),,Kona Pacific Farmers Cooperative,,7.5,7.67,7.58,7.92,7.58,7.67,10,10,10,83.5
375,Indonesia,bondowoso,Specialty Coffee Association of Indonesia,,7.83,7.58,7.58,7.58,7.75,7.58,10,10,10,83.5
376,Colombia,huila,CARCAFE LTDA CI,Caturra,7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,83.42
377,Guatemala,san marcos,Juan Luis Alvarado Romero,Bourbon,7.67,7.75,7.5,7.58,7.58,7.67,10,10,10,83.42
378,Colombia,huila,CARCAFE LTDA CI,Caturra,7.67,7.67,7.5,7.67,7.67,7.58,10,10,10,83.42
379,Costa Rica,tarrazu,"CECA, S.A.",Caturra,7.58,7.5,7.42,7.92,7.5,7.67,10,10,10,83.42
380,Taiwan,,CQI Taiwan ICP CQI台灣合作夥伴,,7.67,7.67,7,7.08,7,7,10,10,10,83.42
381,Uganda,eastern,Bugisu Cooperative Union,SL14,7.58,7.75,7.33,7.75,7.67,7.58,10,10,10,83.42
382,Thailand,thailand,松澤宏樹 Koju Matsuzawa,Catimor,7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,83.42
383,El Salvador,apaneca,Consejo Salvadoreño del Café,Bourbon,7.58,7.5,7.75,7.58,7.75,7.67,10,10,10,83.42
384,Colombia,huila,CARCAFE LTDA CI,Caturra,7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,83.42
385,Brazil,vale da grama,BOURBON SPECIALTY COFFEES,Yellow Bourbon,7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,83.42
386,"Tanzania, United Republic Of",karatu northern,Ngila Estate Ltd,Bourbon,7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,83.42
387,Colombia,huila,Compañia Colombiana Agroindustrial S.A,Caturra,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,83.42
388,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,83.42
389,Guatemala,antigua,Juan Luis Alvarado Romero,Caturra,7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,83.42
390,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,83.42
391,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.42,7.75,7.67,7.58,7.67,7.67,10,10,10,83.42
392,Colombia,cundinamarca,Exportadora de Cafe Condor S.A,Caturra,7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,83.42
393,Colombia,huila,Federación Nacional de Cafeteros,,7.58,7.58,7.58,7.67,7.75,7.67,10,10,10,83.42
394,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,,7.5,7.92,7.42,7.67,7.83,7.58,10,10,10,83.42
395,Thailand,,Doi Tung Development Project,Peaberry,7.58,7.25,7.5,7.92,7.92,7.42,10,10,10,83.42
396,Mexico,nayarit,Grounds for Health Admin,,7.25,7.88,7.38,7.63,7.5,8.75,9,10,10,83.38
397,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.75,7.5,7.75,7.58,7.58,7.58,10,10,10,83.33
398,Colombia,guayata,Racafe & Cia S.C.A,Caturra,7.67,7.58,7.58,7.42,7.67,7.75,10,10,10,83.33
399,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.83,7.58,7.58,7.58,7.5,7.58,10,10,10,83.33
400,Brazil,south of minas,Ipanema Coffees,Catuai,7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,83.33
401,Mexico,chiapas,ANDREAS KUSSMAUL,Caturra,7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,83.33
402,Colombia,santander,Exportadora de Cafe Condor S.A,Caturra,7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,83.33
403,"Tanzania, United Republic Of",arusha,AFCA,Other,7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,83.33
404,Mexico,veracruz,J.ANDRADE,Other,7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,83.33
405,Costa Rica,san ramon,The Coffee Source Inc.,Caturra,7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,83.33
406,United States (Hawaii),kona,Eileen Koyanagi,Hawaiian Kona,7.83,7.58,7.83,7.67,7.92,8,9.33,10,9.33,83.33
407,Costa Rica,central valley,Eric Thormaehlen,Catuai,7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,83.33
408,Peru,,Dane Loraas,,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10,10,83.33
409,Haiti,"thiotte, haiti",ITIAH COFFEE LLC,Typica,7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,83.33
410,Colombia,pitalito,CARCAFE LTDA CI,Caturra,7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,83.33
411,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,83.33
412,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10,10,83.33
413,Burundi,kayanza,Steven Kil,Bourbon,7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,83.33
414,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,83.33
415,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,,8.08,7.83,7.83,7.75,7.67,7.58,9.33,10,9.33,83.33
416,United States (Hawaii),,Kona Pacific Farmers Cooperative,,7.58,7.67,7.58,7.5,7.83,7.67,10,10,10,83.33
417,Mexico,sierra madre occidental,CAFE DE DON BALBINO S.C. DE R.L. DE C.V.,Typica,7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,83.25
418,Costa Rica,tarrazu,Troy Quimby,Catuai,7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,83.25
419,Costa Rica,tarrazu,Rodrigo Soto,,7.83,7.5,7.42,7.67,7.5,7.67,10,10,10,83.25
420,Guatemala,nuevo oriente,Juan Luis Alvarado Romero,Pacas,7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,83.25
421,Uganda,"sipi, mt elgon",Kawacom Uganda LTD,SL14,7.5,7.67,7.67,7.42,7.67,7.67,10,10,10,83.25
422,Brazil,campos altos - cerrado,BOURBON SPECIALTY COFFEES,,7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,83.25
423,Colombia,huila,CARCAFE LTDA CI,Caturra,7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,83.25
424,Mexico,cuarenteño,PRODUCTOS Y SERVICIOS CHILINDRON S.A. DE C.V.,Typica,7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,83.25
425,Taiwan,natou county,"Lin, Che-Hao Krude 林哲豪",Bourbon,7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,83.25
426,Taiwan,南投國姓,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.92,7.83,7.75,7.58,7.5,7.33,10,10,10,83.25
427,Colombia,eje cafetero,Compañia Colombiana Agroindustrial S.A,Caturra,7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,83.25
428,Guatemala,antigua,Juan Luis Alvarado Romero,Caturra,7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,83.25
